District,Province,Terrain,Population,Shelters,Flood_Prone,Landslide_Prone
Bhojpur,Koshi,Hill,227621,12,No,Yes
Dhankuta,Koshi,Hill,66556,4,No,Yes
Ilam,Koshi,Hill,132097,6,No,Yes
Jhapa,Koshi,Terai,434053,22,Yes,No
Khotang,Koshi,Hill,253061,14,No,Yes
Morang,Koshi,Terai,909570,23,Yes,No
Okhaldhunga,Koshi,Hill,293879,9,No,Yes
Panchthar,Koshi,Hill,82790,4,No,Yes
Sankhuwasabha,Koshi,Mountain,65302,4,No,Yes
Solukhumbu,Koshi,Mountain,13905,4,No,Yes
Sunsari,Koshi,Terai,429258,19,Yes,No
Taplejung,Koshi,Mountain,76237,4,No,Yes
Terhathum,Koshi,Hill,66956,4,No,Yes
Udayapur,Koshi,Hill,112124,4,No,Yes
Bara,Madhesh,Terai,881453,23,Yes,No
Dhanusha,Madhesh,Terai,771412,27,Yes,No
Mahottari,Madhesh,Terai,431148,15,Yes,No
Parsa,Madhesh,Terai,817889,34,Yes,No
Rautahat,Madhesh,Terai,206814,5,Yes,No
Saptari,Madhesh,Terai,367414,10,Yes,No
Sarlahi,Madhesh,Terai,643143,25,Yes,No
Siraha,Madhesh,Terai,491369,24,Yes,No
Bhaktapur,Bagmati,Valley,751545,19,No,No
Chitwan,Bagmati,Plain,326472,18,Yes,No
Dhading,Bagmati,Hill,84312,4,No,Yes
Dolakha,Bagmati,Mountain,22676,4,No,Yes
Kathmandu,Bagmati,Valley,1021327,29,No,No
Kavrepalanchok,Bagmati,Hill,129342,4,No,Yes
Lalitpur,Bagmati,Valley,391122,10,No,No
Makwanpur,Bagmati,Hill,180435,6,No,Yes
Nuwakot,Bagmati,Hill,92722,4,No,Yes
Ramechhap,Bagmati,Hill,80656,4,No,Yes
Rasuwa,Bagmati,Mountain,48427,4,No,Yes
Sindhuli,Bagmati,Hill,224794,6,No,Yes
Sindhupalchok,Bagmati,Mountain,57400,4,No,Yes
Baglung,Gandaki,Hill,110407,4,No,Yes
Gorkha,Gandaki,Mountain,19116,4,No,Yes
Kaski,Gandaki,Hill,233346,10,No,Yes
Lamjung,Gandaki,Hill,262655,11,No,Yes
Manang,Gandaki,Mountain,20458,4,No,Yes
Mustang,Gandaki,Mountain,40512,4,No,Yes
Myagdi,Gandaki,Mountain,23238,4,No,Yes
Nawalpur,Gandaki,Terai,491476,16,Yes,No
Parbat,Gandaki,Hill,226640,5,No,Yes
Syangja,Gandaki,Hill,155638,8,No,Yes
Tanahun,Gandaki,Hill,157040,6,No,Yes
Arghakhanchi,Lumbini,Hill,114921,4,No,Yes
Banke,Lumbini,Terai,479946,13,Yes,No
Bardiya,Lumbini,Terai,916751,25,Yes,No
Dang,Lumbini,Terai,274870,8,Yes,No
Eastern Rukum,Lumbini,Mountain,32431,4,No,Yes
Gulmi,Lumbini,Hill,251136,11,No,Yes
Kapilvastu,Lumbini,Terai,371339,12,Yes,No
Nawalparasi West,Lumbini,Terai,597887,25,Yes,No
Palpa,Lumbini,Hill,227772,6,No,Yes
Pyuthan,Lumbini,Hill,206001,9,No,Yes
Rolpa,Lumbini,Hill,239467,9,No,Yes
Rupandehi,Lumbini,Terai,258655,11,Yes,No
Dailekh,Karnali,Hill,275430,17,No,Yes
Dolpa,Karnali,Mountain,51347,4,No,Yes
Humla,Karnali,Mountain,45093,4,No,Yes
Jajarkot,Karnali,Hill,115307,4,No,Yes
Jumla,Karnali,Mountain,84341,4,No,Yes
Kalikot,Karnali,Mountain,51245,4,No,Yes
Mugu,Karnali,Mountain,75435,4,No,Yes
Salyan,Karnali,Hill,291914,6,No,Yes
Surkhet,Karnali,Hill,228519,8,No,Yes
Western Rukum,Karnali,Mountain,28726,4,No,Yes
Achham,Sudurpashchim,Hill,96603,4,No,Yes
Baitadi,Sudurpashchim,Hill,255294,8,No,Yes
Bajhang,Sudurpashchim,Mountain,80644,4,No,Yes
Bajura,Sudurpashchim,Mountain,86622,4,No,Yes
Dadeldhura,Sudurpashchim,Hill,295358,9,No,Yes
Darchula,Sudurpashchim,Mountain,62350,4,No,Yes
Kailali,Sudurpashchim,Terai,429974,22,Yes,No
Kanchanpur,Sudurpashchim,Terai,734277,24,Yes,No
Doti,Sudurpashchim,Hill,83831,4,No,Yes

